Manufacturer,Product,AAGUID,FIDO Level
Yubico,FIDO U2F Security Key,,
Yubico,YubiKey 4 (Series),,
Yubico,YubiKey FIPS (4 Series),,
Yubico,"YubiKey 5 (USB-A, No NFC)",cb69481e-8ff7-4039-93ec-0a2729a154a8,1
Yubico,"YubiKey 5 (USB-A, No NFC)",ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5 NFC,fa2b99dc-9e39-4257-8f92-4a30d23c4118,1
Yubico,YubiKey 5 NFC,2fc0579f-8113-47ea-b116-bb5a8db9202a,1
Yubico,YubiKey 5 NFC CSPN,2fc0579f-8113-47ea-b116-bb5a8db9202a,1
Yubico,YubiKey 5 NFC FIPS,c1f9a0bc-1dd2-404a-b27f-8e29047a43fd,2
Yubico,YubiKey 5 Nano,cb69481e-8ff7-4039-93ec-0a2729a154a8,1
Yubico,YubiKey 5 Nano,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5 Nano CSPN,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5 Nano FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b,2
Yubico,YubiKey 5C,cb69481e-8ff7-4039-93ec-0a2729a154a8,1
Yubico,YubiKey 5C,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5C CSPN,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5C FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b,2
Yubico,YubiKey 5C Nano,cb69481e-8ff7-4039-93ec-0a2729a154a8,1
Yubico,YubiKey 5C Nano,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5C Nano CSPN,ee882879-721c-4913-9775-3dfcce97072a,1
Yubico,YubiKey 5C Nano FIPS,73bb0cd4-e502-49b8-9c6f-b59445bf720b,2
Yubico,YubiKey 5C NFC,2fc0579f-8113-47ea-b116-bb5a8db9202a,1
Yubico,YubiKey 5C NFC CSPN,2fc0579f-8113-47ea-b116-bb5a8db9202a,1
Yubico,YubiKey 5C NFC FIPS,c1f9a0bc-1dd2-404a-b27f-8e29047a43fd,2
Yubico,YubiKey 5Ci,c5ef55ff-ad9a-4b9f-b580-adebafe026d0,1
Yubico,YubiKey 5Ci CSPN,c5ef55ff-ad9a-4b9f-b580-adebafe026d0,1
Yubico,YubiKey 5Ci FIPS,85203421-48f9-4355-9bc8-8a53846e5083,2
Yubico,Security Key By Yubico,f8a011f3-8c0a-4d15-8006-17111f9edc7d,1
Yubico,Security Key By Yubico,b92c3f9a-c014-4056-887f-140a2501163b,1
Yubico,Security Key NFC,6d44ba9b-f6ec-2e49-b930-0c8fe920cb73,1
Yubico,"Security Key NFC (USB-A, USB-C)",149a2021-8ef6-4133-96b8-81f8d5b7f1f5,1
Yubico,YubiKey Bio Series,d8522d9f-575b-4866-88a9-ba99fa02f35b,1
Yubico,"Security Key NFC Black (USB-A, USB-C)",a4e9fc6d-4cbe-4758-b8ba-37598bb5bbaa,2
Yubico,"Security Key NFC - Enterprise Edition (USB-A, USB-C)",0bb43545-fd2c-4185-87dd-feb0b2916ace,2
